sample_a,sample_b,pair_type,similarity
杨戴/伤逝__chunk001,蓝/明天__chunk001,cross,0.854407
杨戴/伤逝__chunk001,蓝/狂人日记__chunk001,cross,0.872455
杨戴/伤逝__chunk001,蓝/社戏__chunk001,cross,0.888151
杨戴/伤逝__chunk001,蓝/祝福__chunk001,cross,0.907841
杨戴/伤逝__chunk001,蓝/祝福__chunk002,cross,0.892636
杨戴/伤逝__chunk001,蓝/离婚__chunk001,cross,0.852078
杨戴/伤逝__chunk001,蓝/肥皂__chunk001,cross,0.863010
杨戴/伤逝__chunk001,蓝/药__chunk001,cross,0.806857
杨戴/伤逝__chunk001,蓝/铸剑__chunk001,cross,0.822810
杨戴/伤逝__chunk001,蓝/铸剑__chunk002,cross,0.778288
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk001,cross,0.782706
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk002,cross,0.783779
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk003,cross,0.796974
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk004,cross,0.819467
杨戴/伤逝__chunk001,蓝/风波__chunk001,cross,0.839261
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,same,0.921113
杨戴/伤逝__chunk002,杨戴/奔月__chunk001,same,0.866935
杨戴/伤逝__chunk002,杨戴/孤独者__chunk001,same,0.917513
杨戴/伤逝__chunk002,杨戴/孤独者__chunk002,same,0.942531
杨戴/伤逝__chunk002,杨戴/幸福的家庭__chunk001,same,0.828707
杨戴/伤逝__chunk002,杨戴/故乡__chunk001,same,0.902159
杨戴/伤逝__chunk002,杨戴/明天__chunk001,same,0.846221
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk001,same,0.878971
杨戴/伤逝__chunk002,杨戴/社戏__chunk001,same,0.908107
杨戴/伤逝__chunk002,杨戴/祝福__chunk001,same,0.906125
杨戴/伤逝__chunk002,杨戴/祝福__chunk002,same,0.862441
杨戴/伤逝__chunk002,杨戴/离婚__chunk001,same,0.866154
杨戴/伤逝__chunk002,杨戴/肥皂__chunk001,same,0.872549
杨戴/伤逝__chunk002,杨戴/药__chunk001,same,0.848059
杨戴/伤逝__chunk002,杨戴/铸剑__chunk001,same,0.843962
杨戴/伤逝__chunk002,杨戴/铸剑__chunk002,same,0.807476
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk001,same,0.794509
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk002,same,0.798445
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk003,same,0.798911
杨戴/伤逝__chunk002,杨戴/阿Q正传__chunk004,same,0.795731
杨戴/伤逝__chunk002,杨戴/风波__chunk001,same,0.861999
杨戴/伤逝__chunk002,蓝/伤逝__chunk001,cross,0.948448
杨戴/伤逝__chunk002,蓝/伤逝__chunk002,cross,0.929553
杨戴/伤逝__chunk002,蓝/在酒楼上__chunk001,cross,0.929442
杨戴/伤逝__chunk002,蓝/奔月__chunk001,cross,0.859538
杨戴/伤逝__chunk002,蓝/孤独者__chunk001,cross,0.900125
杨戴/伤逝__chunk002,蓝/孤独者__chunk002,cross,0.921699
杨戴/伤逝__chunk002,蓝/幸福的家庭__chunk001,cross,0.815992
杨戴/伤逝__chunk002,蓝/故乡__chunk001,cross,0.906050
杨戴/伤逝__chunk002,蓝/明天__chunk001,cross,0.834644
杨戴/伤逝__chunk002,蓝/狂人日记__chunk001,cross,0.897103
杨戴/伤逝__chunk002,蓝/社戏__chunk001,cross,0.882587
杨戴/伤逝__chunk002,蓝/祝福__chunk001,cross,0.901345
杨戴/伤逝__chunk002,蓝/祝福__chunk002,cross,0.899398
杨戴/伤逝__chunk002,蓝/离婚__chunk001,cross,0.866842
杨戴/伤逝__chunk002,蓝/肥皂__chunk001,cross,0.860341
杨戴/伤逝__chunk002,蓝/药__chunk001,cross,0.812809
杨戴/伤逝__chunk002,蓝/铸剑__chunk001,cross,0.838246
杨戴/伤逝__chunk002,蓝/铸剑__chunk002,cross,0.768765
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk001,cross,0.772495
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk002,cross,0.774961
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk003,cross,0.793802
杨戴/伤逝__chunk002,蓝/阿Q正传__chunk004,cross,0.814075
杨戴/伤逝__chunk002,蓝/风波__chunk001,cross,0.849053
杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,same,0.867434
杨戴/在酒楼上__chunk001,杨戴/孤独者__chunk001,same,0.905322
杨戴/在酒楼上__chunk001,杨戴/孤独者__chunk002,same,0.915058
杨戴/在酒楼上__chunk001,杨戴/幸福的家庭__chunk001,same,0.835666
杨戴/在酒楼上__chunk001,杨戴/故乡__chunk001,same,0.947050
杨戴/在酒楼上__chunk001,杨戴/明天__chunk001,same,0.827715
杨戴/在酒楼上__chunk001,杨戴/狂人日记__chunk001,same,0.924576
杨戴/在酒楼上__chunk001,杨戴/社戏__chunk001,same,0.945395
杨戴/在酒楼上__chunk001,杨戴/祝福__chunk001,same,0.933839
杨戴/在酒楼上__chunk001,杨戴/祝福__chunk002,same,0.912636
杨戴/在酒楼上__chunk001,杨戴/离婚__chunk001,same,0.867740
杨戴/在酒楼上__chunk001,杨戴/肥皂__chunk001,same,0.867129
杨戴/在酒楼上__chunk001,杨戴/药__chunk001,same,0.832276
杨戴/在酒楼上__chunk001,杨戴/铸剑__chunk001,same,0.831343
杨戴/在酒楼上__chunk001,杨戴/铸剑__chunk002,same,0.798138
杨戴/在酒楼上__chunk001,杨戴/阿Q正传__chunk001,same,0.846097
杨戴/在酒楼上__chunk001,杨戴/阿Q正传__chunk002,same,0.820604
杨戴/在酒楼上__chunk001,杨戴/阿Q正传__chunk003,same,0.857455
杨戴/在酒楼上__chunk001,杨戴/阿Q正传__chunk004,same,0.852432
杨戴/在酒楼上__chunk001,杨戴/风波__chunk001,same,0.865963
杨戴/在酒楼上__chunk001,蓝/伤逝__chunk001,cross,0.917668
杨戴/在酒楼上__chunk001,蓝/伤逝__chunk002,cross,0.902026
杨戴/在酒楼上__chunk001,蓝/在酒楼上__chunk001,cross,0.945758
杨戴/在酒楼上__chunk001,蓝/奔月__chunk001,cross,0.855314
杨戴/在酒楼上__chunk001,蓝/孤独者__chunk001,cross,0.897380
杨戴/在酒楼上__chunk001,蓝/孤独者__chunk002,cross,0.899859
杨戴/在酒楼上__chunk001,蓝/幸福的家庭__chunk001,cross,0.816925
杨戴/在酒楼上__chunk001,蓝/故乡__chunk001,cross,0.917878
杨戴/在酒楼上__chunk001,蓝/明天__chunk001,cross,0.851259
杨戴/在酒楼上__chunk001,蓝/狂人日记__chunk001,cross,0.874400
杨戴/在酒楼上__chunk001,蓝/社戏__chunk001,cross,0.898466
杨戴/在酒楼上__chunk001,蓝/祝福__chunk001,cross,0.895785
杨戴/在酒楼上__chunk001,蓝/祝福__chunk002,cross,0.874058
杨戴/在酒楼上__chunk001,蓝/离婚__chunk001,cross,0.852643
杨戴/在酒楼上__chunk001,蓝/肥皂__chunk001,cross,0.860811
杨戴/在酒楼上__chunk001,蓝/药__chunk001,cross,0.807787
杨戴/在酒楼上__chunk001,蓝/铸剑__chunk001,cross,0.837684
杨戴/在酒楼上__chunk001,蓝/铸剑__chunk002,cross,0.794962
杨戴/在酒楼上__chunk001,蓝/阿Q正传__chunk001,cross,0.810008
杨戴/在酒楼上__chunk001,蓝/阿Q正传__chunk002,cross,0.800005
杨戴/在酒楼上__chunk001,蓝/阿Q正传__chunk003,cross,0.813725
杨戴/在酒楼上__chunk001,蓝/阿Q正传__chunk004,cross,0.833377
杨戴/在酒楼上__chunk001,蓝/风波__chunk001,cross,0.841747
杨戴/奔月__chunk001,杨戴/孤独者__chunk001,same,0.914243
杨戴/奔月__chunk001,杨戴/孤独者__chunk002,same,0.889692
杨戴/奔月__chunk001,杨戴/幸福的家庭__chunk001,same,0.899334
杨戴/奔月__chunk001,杨戴/故乡__chunk001,same,0.889138
杨戴/奔月__chunk001,杨戴/明天__chunk001,same,0.867115
杨戴/奔月__chunk001,杨戴/狂人日记__chunk001,same,0.864881
杨戴/奔月__chunk001,杨戴/社戏__chunk001,same,0.891159
杨戴/奔月__chunk001,杨戴/祝福__chunk001,same,0.869747
杨戴/奔月__chunk001,杨戴/祝福__chunk002,same,0.852965
杨戴/奔月__chunk001,杨戴/离婚__chunk001,same,0.951078
杨戴/奔月__chunk001,杨戴/肥皂__chunk001,same,0.944141
杨戴/奔月__chunk001,杨戴/药__chunk001,same,0.930778
杨戴/奔月__chunk001,杨戴/铸剑__chunk001,same,0.935822
杨戴/奔月__chunk001,杨戴/铸剑__chunk002,same,0.871843
杨戴/奔月__chunk001,杨戴/阿Q正传__chunk001,same,0.842582
杨戴/奔月__chunk001,杨戴/阿Q正传__chunk002,same,0.848297
杨戴/奔月__chunk001,杨戴/阿Q正传__chunk003,same,0.858417
杨戴/奔月__chunk001,杨戴/阿Q正传__chunk004,same,0.865417
杨戴/奔月__chunk001,杨戴/风波__chunk001,same,0.930393
杨戴/奔月__chunk001,蓝/伤逝__chunk001,cross,0.841856
杨戴/奔月__chunk001,蓝/伤逝__chunk002,cross,0.817533
杨戴/奔月__chunk001,蓝/在酒楼上__chunk001,cross,0.880074
杨戴/奔月__chunk001,蓝/奔月__chunk001,cross,0.940925
杨戴/奔月__chunk001,蓝/孤独者__chunk001,cross,0.900944
杨戴/奔月__chunk001,蓝/孤独者__chunk002,cross,0.876282
杨戴/奔月__chunk001,蓝/幸福的家庭__chunk001,cross,0.872797
杨戴/奔月__chunk001,蓝/故乡__chunk001,cross,0.882695
杨戴/奔月__chunk001,蓝/明天__chunk001,cross,0.852368
杨戴/奔月__chunk001,蓝/狂人日记__chunk001,cross,0.862081
杨戴/奔月__chunk001,蓝/社戏__chunk001,cross,0.860162
杨戴/奔月__chunk001,蓝/祝福__chunk001,cross,0.858578
杨戴/奔月__chunk001,蓝/祝福__chunk002,cross,0.863655
杨戴/奔月__chunk001,蓝/离婚__chunk001,cross,0.901574
杨戴/奔月__chunk001,蓝/肥皂__chunk001,cross,0.898753
杨戴/奔月__chunk001,蓝/药__chunk001,cross,0.890719
杨戴/奔月__chunk001,蓝/铸剑__chunk001,cross,0.909402
杨戴/奔月__chunk001,蓝/铸剑__chunk002,cross,0.811421
杨戴/奔月__chunk001,蓝/阿Q正传__chunk001,cross,0.811908
杨戴/奔月__chunk001,蓝/阿Q正传__chunk002,cross,0.829091
杨戴/奔月__chunk001,蓝/阿Q正传__chunk003,cross,0.831267
杨戴/奔月__chunk001,蓝/阿Q正传__chunk004,cross,0.866785
杨戴/奔月__chunk001,蓝/风波__chunk001,cross,0.891372
杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,same,0.957885
杨戴/孤独者__chunk001,杨戴/幸福的家庭__chunk001,same,0.894391
杨戴/孤独者__chunk001,杨戴/故乡__chunk001,same,0.920022
杨戴/孤独者__chunk001,杨戴/明天__chunk001,same,0.842061
杨戴/孤独者__chunk001,杨戴/狂人日记__chunk001,same,0.907381
杨戴/孤独者__chunk001,杨戴/社戏__chunk001,same,0.897045
杨戴/孤独者__chunk001,杨戴/祝福__chunk001,same,0.891305
杨戴/孤独者__chunk001,杨戴/祝福__chunk002,same,0.856537
杨戴/孤独者__chunk001,杨戴/离婚__chunk001,same,0.918665
杨戴/孤独者__chunk001,杨戴/肥皂__chunk001,same,0.910194
杨戴/孤独者__chunk001,杨戴/药__chunk001,same,0.903992
杨戴/孤独者__chunk001,杨戴/铸剑__chunk001,same,0.911768
杨戴/孤独者__chunk001,杨戴/铸剑__chunk002,same,0.849667
杨戴/孤独者__chunk001,杨戴/阿Q正传__chunk001,same,0.848935
杨戴/孤独者__chunk001,杨戴/阿Q正传__chunk002,same,0.860611
杨戴/孤独者__chunk001,杨戴/阿Q正传__chunk003,same,0.851942
杨戴/孤独者__chunk001,杨戴/阿Q正传__chunk004,same,0.855279
杨戴/孤独者__chunk001,杨戴/风波__chunk001,same,0.909087
杨戴/孤独者__chunk001,蓝/伤逝__chunk001,cross,0.892864
杨戴/孤独者__chunk001,蓝/伤逝__chunk002,cross,0.881055
杨戴/孤独者__chunk001,蓝/在酒楼上__chunk001,cross,0.923540
杨戴/孤独者__chunk001,蓝/奔月__chunk001,cross,0.918192
杨戴/孤独者__chunk001,蓝/孤独者__chunk001,cross,0.960267
杨戴/孤独者__chunk001,蓝/孤独者__chunk002,cross,0.939860
杨戴/孤独者__chunk001,蓝/幸福的家庭__chunk001,cross,0.878518
杨戴/孤独者__chunk001,蓝/故乡__chunk001,cross,0.937146
杨戴/孤独者__chunk001,蓝/明天__chunk001,cross,0.845357
杨戴/孤独者__chunk001,蓝/狂人日记__chunk001,cross,0.922139
杨戴/孤独者__chunk001,蓝/社戏__chunk001,cross,0.882883
杨戴/孤独者__chunk001,蓝/祝福__chunk001,cross,0.893221
杨戴/孤独者__chunk001,蓝/祝福__chunk002,cross,0.894840
杨戴/孤独者__chunk001,蓝/离婚__chunk001,cross,0.912497
杨戴/孤独者__chunk001,蓝/肥皂__chunk001,cross,0.918275
杨戴/孤独者__chunk001,蓝/药__chunk001,cross,0.871769
杨戴/孤独者__chunk001,蓝/铸剑__chunk001,cross,0.906375
杨戴/孤独者__chunk001,蓝/铸剑__chunk002,cross,0.800425
杨戴/孤独者__chunk001,蓝/阿Q正传__chunk001,cross,0.832466
杨戴/孤独者__chunk001,蓝/阿Q正传__chunk002,cross,0.838872
杨戴/孤独者__chunk001,蓝/阿Q正传__chunk003,cross,0.839335
杨戴/孤独者__chunk001,蓝/阿Q正传__chunk004,cross,0.874191
杨戴/孤独者__chunk001,蓝/风波__chunk001,cross,0.886136
杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,same,0.871129
杨戴/孤独者__chunk002,杨戴/故乡__chunk001,same,0.913018
杨戴/孤独者__chunk002,杨戴/明天__chunk001,same,0.832185
杨戴/孤独者__chunk002,杨戴/狂人日记__chunk001,same,0.911033
杨戴/孤独者__chunk002,杨戴/社戏__chunk001,same,0.896604
杨戴/孤独者__chunk002,杨戴/祝福__chunk001,same,0.883829
杨戴/孤独者__chunk002,杨戴/祝福__chunk002,same,0.834571
杨戴/孤独者__chunk002,杨戴/离婚__chunk001,same,0.893397
杨戴/孤独者__chunk002,杨戴/肥皂__chunk001,same,0.876924
杨戴/孤独者__chunk002,杨戴/药__chunk001,same,0.874084
杨戴/孤独者__chunk002,杨戴/铸剑__chunk001,same,0.878484
杨戴/孤独者__chunk002,杨戴/铸剑__chunk002,same,0.824876
杨戴/孤独者__chunk002,杨戴/阿Q正传__chunk001,same,0.828075
杨戴/孤独者__chunk002,杨戴/阿Q正传__chunk002,same,0.836694
杨戴/孤独者__chunk002,杨戴/阿Q正传__chunk003,same,0.829491
杨戴/孤独者__chunk002,杨戴/阿Q正传__chunk004,same,0.833084
杨戴/孤独者__chunk002,杨戴/风波__chunk001,same,0.876292
杨戴/孤独者__chunk002,蓝/伤逝__chunk001,cross,0.916376
杨戴/孤独者__chunk002,蓝/伤逝__chunk002,cross,0.902614
杨戴/孤独者__chunk002,蓝/在酒楼上__chunk001,cross,0.925120
杨戴/孤独者__chunk002,蓝/奔月__chunk001,cross,0.887850
杨戴/孤独者__chunk002,蓝/孤独者__chunk001,cross,0.932085
杨戴/孤独者__chunk002,蓝/孤独者__chunk002,cross,0.946772
杨戴/孤独者__chunk002,蓝/幸福的家庭__chunk001,cross,0.845263
杨戴/孤独者__chunk002,蓝/故乡__chunk001,cross,0.923989
杨戴/孤独者__chunk002,蓝/明天__chunk001,cross,0.827813
杨戴/孤独者__chunk002,蓝/狂人日记__chunk001,cross,0.925712
杨戴/孤独者__chunk002,蓝/社戏__chunk001,cross,0.881940
杨戴/孤独者__chunk002,蓝/祝福__chunk001,cross,0.878978
杨戴/孤独者__chunk002,蓝/祝福__chunk002,cross,0.879409
杨戴/孤独者__chunk002,蓝/离婚__chunk001,cross,0.885073
杨戴/孤独者__chunk002,蓝/肥皂__chunk001,cross,0.874911
杨戴/孤独者__chunk002,蓝/药__chunk001,cross,0.831907
杨戴/孤独者__chunk002,蓝/铸剑__chunk001,cross,0.870269
杨戴/孤独者__chunk002,蓝/铸剑__chunk002,cross,0.783637
杨戴/孤独者__chunk002,蓝/阿Q正传__chunk001,cross,0.808903
杨戴/孤独者__chunk002,蓝/阿Q正传__chunk002,cross,0.812178
杨戴/孤独者__chunk002,蓝/阿Q正传__chunk003,cross,0.815469
杨戴/孤独者__chunk002,蓝/阿Q正传__chunk004,cross,0.848420
杨戴/孤独者__chunk002,蓝/风波__chunk001,cross,0.852985
杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,same,0.850497
杨戴/幸福的家庭__chunk001,杨戴/明天__chunk001,same,0.850833
杨戴/幸福的家庭__chunk001,杨戴/狂人日记__chunk001,same,0.866600
杨戴/幸福的家庭__chunk001,杨戴/社戏__chunk001,same,0.859796
杨戴/幸福的家庭__chunk001,杨戴/祝福__chunk001,same,0.847210
杨戴/幸福的家庭__chunk001,杨戴/祝福__chunk002,same,0.825003
杨戴/幸福的家庭__chunk001,杨戴/离婚__chunk001,same,0.897794
杨戴/幸福的家庭__chunk001,杨戴/肥皂__chunk001,same,0.886579
杨戴/幸福的家庭__chunk001,杨戴/药__chunk001,same,0.916911
杨戴/幸福的家庭__chunk001,杨戴/铸剑__chunk001,same,0.905721
杨戴/幸福的家庭__chunk001,杨戴/铸剑__chunk002,same,0.879457
杨戴/幸福的家庭__chunk001,杨戴/阿Q正传__chunk001,same,0.845844
杨戴/幸福的家庭__chunk001,杨戴/阿Q正传__chunk002,same,0.852487
杨戴/幸福的家庭__chunk001,杨戴/阿Q正传__chunk003,same,0.849277
杨戴/幸福的家庭__chunk001,杨戴/阿Q正传__chunk004,same,0.848080
杨戴/幸福的家庭__chunk001,杨戴/风波__chunk001,same,0.911681
杨戴/幸福的家庭__chunk001,蓝/伤逝__chunk001,cross,0.857936
杨戴/幸福的家庭__chunk001,蓝/伤逝__chunk002,cross,0.839418
杨戴/幸福的家庭__chunk001,蓝/在酒楼上__chunk001,cross,0.856462
杨戴/幸福的家庭__chunk001,蓝/奔月__chunk001,cross,0.936670
杨戴/幸福的家庭__chunk001,蓝/孤独者__chunk001,cross,0.905897
杨戴/幸福的家庭__chunk001,蓝/孤独者__chunk002,cross,0.889340
杨戴/幸福的家庭__chunk001,蓝/幸福的家庭__chunk001,cross,0.953276
杨戴/幸福的家庭__chunk001,蓝/故乡__chunk001,cross,0.912203
杨戴/幸福的家庭__chunk001,蓝/明天__chunk001,cross,0.884922
杨戴/幸福的家庭__chunk001,蓝/狂人日记__chunk001,cross,0.881977
杨戴/幸福的家庭__chunk001,蓝/社戏__chunk001,cross,0.886180
杨戴/幸福的家庭__chunk001,蓝/祝福__chunk001,cross,0.867930
杨戴/幸福的家庭__chunk001,蓝/祝福__chunk002,cross,0.837234
杨戴/幸福的家庭__chunk001,蓝/离婚__chunk001,cross,0.939093
杨戴/幸福的家庭__chunk001,蓝/肥皂__chunk001,cross,0.923004
杨戴/幸福的家庭__chunk001,蓝/药__chunk001,cross,0.912513
杨戴/幸福的家庭__chunk001,蓝/铸剑__chunk001,cross,0.926198
杨戴/幸福的家庭__chunk001,蓝/铸剑__chunk002,cross,0.856300
杨戴/幸福的家庭__chunk001,蓝/阿Q正传__chunk001,cross,0.854320
杨戴/幸福的家庭__chunk001,蓝/阿Q正传__chunk002,cross,0.867288
杨戴/幸福的家庭__chunk001,蓝/阿Q正传__chunk003,cross,0.867179
杨戴/幸福的家庭__chunk001,蓝/阿Q正传__chunk004,cross,0.899662
杨戴/幸福的家庭__chunk001,蓝/风波__chunk001,cross,0.910067
杨戴/故乡__chunk001,杨戴/明天__chunk001,same,0.839668
杨戴/故乡__chunk001,杨戴/狂人日记__chunk001,same,0.924953
杨戴/故乡__chunk001,杨戴/社戏__chunk001,same,0.938179
杨戴/故乡__chunk001,杨戴/祝福__chunk001,same,0.934065
杨戴/故乡__chunk001,杨戴/祝福__chunk002,same,0.903980
杨戴/故乡__chunk001,杨戴/离婚__chunk001,same,0.888867
杨戴/故乡__chunk001,杨戴/肥皂__chunk001,same,0.878443
杨戴/故乡__chunk001,杨戴/药__chunk001,same,0.857383
杨戴/故乡__chunk001,杨戴/铸剑__chunk001,same,0.848390
杨戴/故乡__chunk001,杨戴/铸剑__chunk002,same,0.801986
杨戴/故乡__chunk001,杨戴/阿Q正传__chunk001,same,0.863585
杨戴/故乡__chunk001,杨戴/阿Q正传__chunk002,same,0.853512
杨戴/故乡__chunk001,杨戴/阿Q正传__chunk003,same,0.887208
杨戴/故乡__chunk001,杨戴/阿Q正传__chunk004,same,0.888032
杨戴/故乡__chunk001,杨戴/风波__chunk001,same,0.883588
杨戴/故乡__chunk001,蓝/伤逝__chunk001,cross,0.890284
杨戴/故乡__chunk001,蓝/伤逝__chunk002,cross,0.860319
杨戴/故乡__chunk001,蓝/在酒楼上__chunk001,cross,0.924923
杨戴/故乡__chunk001,蓝/奔月__chunk001,cross,0.859634
杨戴/故乡__chunk001,蓝/孤独者__chunk001,cross,0.910901
杨戴/故乡__chunk001,蓝/孤独者__chunk002,cross,0.892205
杨戴/故乡__chunk001,蓝/幸福的家庭__chunk001,cross,0.831650
杨戴/故乡__chunk001,蓝/故乡__chunk001,cross,0.918136
杨戴/故乡__chunk001,蓝/明天__chunk001,cross,0.833519
杨戴/故乡__chunk001,蓝/狂人日记__chunk001,cross,0.860013
杨戴/故乡__chunk001,蓝/社戏__chunk001,cross,0.883811
杨戴/故乡__chunk001,蓝/祝福__chunk001,cross,0.878262
杨戴/故乡__chunk001,蓝/祝福__chunk002,cross,0.865037
杨戴/故乡__chunk001,蓝/离婚__chunk001,cross,0.854293
杨戴/故乡__chunk001,蓝/肥皂__chunk001,cross,0.861793
杨戴/故乡__chunk001,蓝/药__chunk001,cross,0.820102
杨戴/故乡__chunk001,蓝/铸剑__chunk001,cross,0.849216
杨戴/故乡__chunk001,蓝/铸剑__chunk002,cross,0.791365
杨戴/故乡__chunk001,蓝/阿Q正传__chunk001,cross,0.820072
杨戴/故乡__chunk001,蓝/阿Q正传__chunk002,cross,0.820449
杨戴/故乡__chunk001,蓝/阿Q正传__chunk003,cross,0.841201
杨戴/故乡__chunk001,蓝/阿Q正传__chunk004,cross,0.845126
杨戴/故乡__chunk001,蓝/风波__chunk001,cross,0.865167
杨戴/明天__chunk001,杨戴/狂人日记__chunk001,same,0.803542
杨戴/明天__chunk001,杨戴/社戏__chunk001,same,0.851649
杨戴/明天__chunk001,杨戴/祝福__chunk001,same,0.896671
杨戴/明天__chunk001,杨戴/祝福__chunk002,same,0.893612
杨戴/明天__chunk001,杨戴/离婚__chunk001,same,0.859386
杨戴/明天__chunk001,杨戴/肥皂__chunk001,same,0.871109
杨戴/明天__chunk001,杨戴/药__chunk001,same,0.882322
杨戴/明天__chunk001,杨戴/铸剑__chunk001,same,0.847478
杨戴/明天__chunk001,杨戴/铸剑__chunk002,same,0.818996
杨戴/明天__chunk001,杨戴/阿Q正传__chunk001,same,0.804673
杨戴/明天__chunk001,杨戴/阿Q正传__chunk002,same,0.823811
杨戴/明天__chunk001,杨戴/阿Q正传__chunk003,same,0.823012
杨戴/明天__chunk001,杨戴/阿Q正传__chunk004,same,0.831353
杨戴/明天__chunk001,杨戴/风波__chunk001,same,0.888421
杨戴/明天__chunk001,蓝/伤逝__chunk001,cross,0.846632
杨戴/明天__chunk001,蓝/伤逝__chunk002,cross,0.812177
杨戴/明天__chunk001,蓝/在酒楼上__chunk001,cross,0.834074
杨戴/明天__chunk001,蓝/奔月__chunk001,cross,0.859271
杨戴/明天__chunk001,蓝/孤独者__chunk001,cross,0.847317
杨戴/明天__chunk001,蓝/孤独者__chunk002,cross,0.820416
杨戴/明天__chunk001,蓝/幸福的家庭__chunk001,cross,0.823338
杨戴/明天__chunk001,蓝/故乡__chunk001,cross,0.846479
杨戴/明天__chunk001,蓝/明天__chunk001,cross,0.875483
杨戴/明天__chunk001,蓝/狂人日记__chunk001,cross,0.791181
杨戴/明天__chunk001,蓝/社戏__chunk001,cross,0.834639
杨戴/明天__chunk001,蓝/祝福__chunk001,cross,0.913104
杨戴/明天__chunk001,蓝/祝福__chunk002,cross,0.906830
杨戴/明天__chunk001,蓝/离婚__chunk001,cross,0.850796
杨戴/明天__chunk001,蓝/肥皂__chunk001,cross,0.849662
杨戴/明天__chunk001,蓝/药__chunk001,cross,0.840773
杨戴/明天__chunk001,蓝/铸剑__chunk001,cross,0.839077
杨戴/明天__chunk001,蓝/铸剑__chunk002,cross,0.805798
杨戴/明天__chunk001,蓝/阿Q正传__chunk001,cross,0.796044
杨戴/明天__chunk001,蓝/阿Q正传__chunk002,cross,0.809559
杨戴/明天__chunk001,蓝/阿Q正传__chunk003,cross,0.819644
杨戴/明天__chunk001,蓝/阿Q正传__chunk004,cross,0.839898
杨戴/明天__chunk001,蓝/风波__chunk001,cross,0.871843
杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,same,0.904149
杨戴/狂人日记__chunk001,杨戴/祝福__chunk001,same,0.886579
杨戴/狂人日记__chunk001,杨戴/祝福__chunk002,same,0.878119
杨戴/狂人日记__chunk001,杨戴/离婚__chunk001,same,0.873647
杨戴/狂人日记__chunk001,杨戴/肥皂__chunk001,same,0.861911
杨戴/狂人日记__chunk001,杨戴/药__chunk001,same,0.835623
